product_id,product_name,product_type,price
P16794,Grandmas Swedish Thin Pancakes,Readymade_breakfast,12.81
P61957,Chili Jack Oven Omelet,Readymade_breakfast,9.95
P23890,Baked Pears,Readymade_breakfast,10.04
P52912,Best Buttermilk Pancakes,Readymade_breakfast,5.83
P56387,Blackberry Breakfast Bars,Readymade_breakfast,14.0
P28708,Toasted Sunny Side Up Egg And Cheese Sandwiches,Readymade_breakfast,13.55
P00299,Pikelets Australian Pancakes,Readymade_breakfast,15.23
P38108,Scrambled Eggs Oeufs Brouills,Readymade_breakfast,7.28
P17375,Baked Pears,Readymade_breakfast,9.92
P26612,Moms Cheat Doughnuts,Readymade_breakfast,6.78
P07585,Scrambled Egg Sandwiches With Onions And Red Peppers,Readymade_breakfast,13.61
P50553,Cheery Cherry Muffins,Readymade_breakfast,7.53
P08098,Bacon Egg Casserole,Readymade_breakfast,12.39
P29135,Mexi Eggs In A Hole,Readymade_breakfast,9.4
P21559,Vanilla Fruit Dip,Readymade_breakfast,7.75
P32948,Original Praline Bacon Recipe,Readymade_breakfast,9.19
P56813,Chili Jack Oven Omelet,Readymade_breakfast,15.5
P06101,Chicken And Egg On Rice Oyako Donburi,Readymade_breakfast,10.95
P63736,Easy Breakfast Casserole,Readymade_breakfast,13.11
P02479,3 Meat Breakfast Pizza,Readymade_breakfast,5.65
P17344,Baked Swiss Cheese Omelet,Readymade_breakfast,8.72
P30732,Original Praline Bacon Recipe,Readymade_breakfast,8.43
P45809,Scrambled Eggs Oeufs Brouills,Readymade_breakfast,6.82
P11333,Flaeskeaeggekage Danish Bacon Egg Pancake Omelet,Readymade_breakfast,7.65
P07816,Egg Flowers,Readymade_breakfast,8.83
P13168,Toasted Sunny Side Up Egg And Cheese Sandwiches,Readymade_breakfast,8.07
P10771,Sleepy Twisted Sisters G N G Breakfast Ramekin,Readymade_breakfast,11.6
P14431,Fresh Mango Bread,Readymade_breakfast,6.87
P42855,Easy Danish Kringle,Readymade_breakfast,6.94
P47927,Ham Omelet Deluxe,Readymade_breakfast,13.87
P33533,Pumpkin Ginger Scones With Cinnamon Chips,Readymade_breakfast,10.2
P49459,Vanilla Fruit Dip,Readymade_breakfast,7.58
P34734,Shirleys Plain Or Blueberry Muffins,Readymade_breakfast,13.33
P57150,Pumpkin Ginger Scones With Cinnamon Chips,Readymade_breakfast,11.69
P59165,Broiled Cinnamon Toast,Readymade_breakfast,10.73
P20183,Vanilla Fruit Dip,Readymade_breakfast,15.41
P00535,Fresh Mango Bread,Readymade_breakfast,8.34
P50613,Broiled Cinnamon Toast,Readymade_breakfast,6.44
P45363,Awesome Orange Chocolate Muffins,Readymade_breakfast,14.25
P36489,Nats Cucumber Cream Cheese Bagel,Readymade_breakfast,8.97
P10592,Scrambled Egg Sandwiches With Onions And Red Peppers,Readymade_breakfast,13.18
P18058,Easy Danish Kringle,Readymade_breakfast,8.87
P29464,Sausage Gravy For Biscuits And Gravy,Readymade_breakfast,11.94
P17153,Fresh Mango Bread,Readymade_breakfast,9.19
P61036,Blueberry Banana Happy Face Pancakes,Readymade_breakfast,8.09
P58979,Chef Flowers Simple Sunday Brunch Omelette,Readymade_breakfast,10.8
P45916,Blueberry Bakery Muffins,Readymade_breakfast,11.75
P10780,English Muffins With Bacon Butter,Readymade_breakfast,7.32
