order_id,user_id,estimated_arrival_in_days,transaction_date
0248bb48-d0d0-4a11-a158-f620640a757a,U16283,13,2020-06-04
14473b59-6c4f-429e-89ef-ce920b209df3,U08179,8,2020-04-07
62b8fabf-4e0a-4383-8b3a-7276c77f9e8c,U55688,10,2020-05-07
96a01cee-071d-4e10-a9e4-56a31b82a9d5,U34967,8,2020-06-05
479b1a6c-3a76-41a7-b15d-71acd4045080,U07130,15,2020-05-24
579acffb-9fbf-4d5d-be56-19bb793c7e99,U45764,4,2020-03-16
1b663b9f-deae-4554-b713-4a3655a4a1e0,U05848,7,2020-04-22
c218f18b-d8a6-4125-a408-d05a15b95e92,U54942,5,2020-02-20
3d70b1a6-aa00-4ccc-baf0-3f47822cd5af,U15563,13,2020-06-16
f52f02bd-1e63-4ae4-82d4-22d6b2ad3f6e,U54512,15,2020-02-10
72ba9f5c-0dfd-4245-bf84-3d547f043767,U57379,7,2020-05-18
88626ace-0c22-48c5-9767-23e21ef4c3b0,U23444,10,2020-06-30
6f4e729a-77b7-4ad9-8ecd-ce38141295bf,U23722,14,2020-04-10
a9fbd9aa-f7ed-491b-b68c-26c3bd1b803b,U29515,11,2020-05-29
eb8c8eef-dbd4-4244-b2c5-0a7bf8e79222,U41014,14,2020-04-30
197afb4e-9384-4bfb-8be0-d0bdb0afc6f8,U16680,11,2020-03-31
2e44dc94-4308-4606-acdc-45a157df44e1,U52874,9,2020-03-21
eaf6d5c2-ac0a-4eed-8543-da345074485a,U07313,15,2020-05-29
b6221277-f3a0-452e-ac7f-288f49f565d1,U64874,5,2020-05-18
b1799525-f425-4509-9bb8-81c5191fcf4f,U18979,5,2020-06-24
2877854e-77e7-45c9-b8b3-5bb4a5ef8bb1,U21694,3,2020-04-08
9ea7cce9-8bba-4467-9245-b0604d2c9053,U57162,6,2020-04-17
15777c8c-a3c8-468d-b515-4f4ed765da5d,U10862,14,2020-05-30
2be62dac-6822-44a5-8b0b-5eb2fa6dcbf6,U00557,11,2020-03-28
cf792ce5-3321-4a4f-9986-3304d12e9eec,U45807,5,2020-01-12
02c776b4-ab4e-4acc-8444-c9c4a6c4cc08,U16887,9,2020-05-26
fa916dfd-7b67-4b02-9fe0-323950c8bbc6,U06849,7,2020-05-30
fcb241ca-a2b4-4588-917a-1baf7cb5dd09,U06665,10,2020-04-25
5b9d2c3d-86b3-497e-92e0-1bd9e06754ef,U45066,11,2020-02-20
0956db21-894e-45d2-8459-8597a4b9ea53,U14888,5,2020-04-05
5418cca4-5933-48e5-b084-362150fa0f71,U04761,7,2020-03-17
af43af9c-5ff7-4a66-b71f-617aabe716d3,U64248,9,2020-04-08
6b4b104a-2b69-4bfd-9e62-e58aa31fe2dd,U22610,11,2020-05-11
7cc42317-2c99-475c-8fef-f13f042fb309,U46092,3,2020-06-19
3e69b3bb-f6a6-44fa-b2a7-2b89c756626a,U58470,12,2020-06-08
30118bca-b685-455c-ae24-ff06746afeea,U11798,9,2020-03-08
a75ce022-5325-4e1e-9aec-2a6eb093eba6,U55307,7,2020-03-18
8a897066-fe83-4fcc-9be3-8ad6c2fd3d00,U03524,10,2020-02-17
804b02c2-c65f-47ee-a7c3-8e82c20ccb3f,U28956,10,2020-02-04
f40686ad-1799-4b40-84e3-ecd5e85b7010,U45736,15,2020-05-23
630ef957-252f-4ab3-bd19-1f835b39d412,U09836,6,2020-05-31
042e4dfe-5f01-4e8d-b127-223a42ff12fa,U52058,5,2020-01-18
8ca10578-09ea-4703-aa90-fc278a9612c6,U55039,8,2020-06-06
6fe4de47-4797-4fdb-996f-07e09148e81c,U40910,10,2020-06-17
4a500282-9581-49bd-9e1a-8dd5ef9cb1c9,U61761,6,2020-04-19
14b1f248-89c9-4895-ba09-2584bf195a91,U36931,4,2020-06-19
01fb171d-36f3-4943-b5d7-3f0b44234309,U09322,9,2020-05-05
03d11b7e-deb7-430d-842d-09cbc8bb0972,U23738,14,2020-05-18
7f3aae05-c5e0-4e3d-90cb-5b754074dfd3,U06268,7,2020-06-18
6e769a8c-9899-43f2-ad38-c0e4cf10fa8d,U41405,13,2020-01-05
9a841c1f-ebb0-4f0f-9e7a-09b396530495,U49288,4,2020-04-23
7988fe5c-ef90-41b3-8e35-4f36789ae2c6,U15053,6,2020-05-12
3782730a-9393-4e79-b0dd-2eed8c7f36f9,U35736,13,2020-04-06
5fcad661-b4f0-4e6f-be2e-d62f761f3c2f,U43872,9,2020-01-26
39c83a58-1646-4980-83a6-1a88780c6bdf,U52300,4,2020-05-28
584d66da-cb8f-4343-a668-2439a357bc43,U28189,6,2020-04-23
34cf14d8-b423-41d1-85be-e1fa03a61d67,U02886,15,2020-03-06
4204b942-1234-43ef-b1e7-e70a7c43c309,U54027,13,2020-06-29
3a48d666-cace-49d9-bf24-c9491175547b,U09857,12,2020-02-12
5fa2afb0-307b-4ce1-b014-2b4c6d1dfbe9,U13630,13,2020-04-21
faae3d38-95db-40e6-b0dc-6308d056b75c,U26461,11,2020-05-18
29bb50dd-48e6-440d-a7f6-d64cd02d9b3f,U56846,7,2020-05-05
8b651f68-5e40-4ee8-a9d2-4fbaa0926b97,U19545,11,2020-05-11
cf6f3c9f-288f-48a2-92a7-204ceba09a24,U56935,12,2020-05-14
f689348c-40d4-41de-a8fe-26e9b5f45311,U43849,14,2020-04-06
4ba93433-45f1-44a0-80e1-317c5bb89e26,U60001,14,2020-06-17
45f1b37d-740c-49ad-a1b1-825dab7d0d0b,U36902,13,2020-03-28
9ffed3a8-36c2-4bba-89e6-18645f9dcb18,U16036,11,2020-04-08
e1fb00dc-598c-4709-a07b-a27f98f0d279,U56440,11,2020-01-26
29f5b286-077a-4486-9f5a-efb48fdf8335,U04832,13,2020-06-28
ba9ac71a-57a0-4975-afcb-09f73a88bfa1,U43033,4,2020-02-23
e9818e90-5973-460b-8278-7d6e9ebaa632,U23492,10,2020-05-06
d77935d0-589a-4972-973f-8602ff16e98e,U00964,15,2020-03-23
11306004-9443-4ac5-84db-9d5de0a19975,U25078,8,2020-02-08
78e64e94-1812-4b8c-bd2c-f11ab05c2e8b,U62752,11,2020-05-04
775eb733-d726-4ea9-8a72-7e575a565c5d,U11738,11,2020-04-25
470999b3-e9d0-4433-975f-b67aff47f318,U62597,7,2020-05-17
3fbcadce-536c-4e9d-b8a3-7e0fc099f0b8,U10028,7,2020-06-14
a4129d9c-6983-4091-ae86-398a41ae5281,U53902,6,2020-05-09
58495728-e78e-46d9-b11e-501ebfbd5f67,U03115,12,2020-05-17
735cca5b-69a1-4a24-84ab-584841782951,U21880,10,2020-06-02
fd604413-a338-4d2f-9154-1ec0cc8551f3,U41429,5,2020-06-02
30321b23-4b0b-42a4-b638-5bdf1f3497c8,U49641,15,2020-04-13
9c728c1b-6a4c-4ba6-a23a-1033d19b7e05,U05741,11,2020-02-24
4d2ac172-73c4-4ead-8f4c-a94421428e1e,U35346,7,2020-02-07
9cbc2142-2b8a-4e78-853d-3b5c11b4381a,U15301,3,2020-06-02
f092eb27-3e8e-4bcb-ba9e-567665eb7012,U50482,6,2020-06-03
59779706-19a3-498e-86d5-c0e265b1a502,U59918,6,2020-01-13
a415ed64-8bb1-49d8-bdc2-51a9700d9f36,U47840,4,2020-01-05
052be42b-ade9-4b0a-84b1-4e9681da9d94,U42986,14,2020-01-21
9ee913b5-8b7f-44f5-b926-e9bd7e0ed922,U59495,7,2020-04-21
cce09c49-ba33-4d25-8d6d-07acd3726da5,U60999,10,2020-01-30
82697968-057b-4e2d-a6ca-e3202db5e273,U60869,12,2020-03-09
5a0f5ee9-39e3-4f0c-9aae-bd0bb3be7d0c,U43033,3,2020-06-19
51675681-3f12-429b-9a09-1a82103746f7,U33308,10,2020-06-22
ed8c56b1-56a9-4db3-a4e2-a3f6e2cc8c69,U46069,5,2020-03-09
a9e46ade-8c00-4e67-b202-f6aaae8a75f3,U05883,14,2020-05-18
270c527f-3a8b-4623-b1df-a539b84d8e8f,U50680,15,2020-02-11
8754e95d-1c22-4fa5-8a30-b5d90b7420ed,U15501,9,2020-04-19
60db2f38-a076-421e-b34f-d5469df7a206,U63768,15,2020-02-23
7b97d8be-2445-4141-a007-b7ffc483e11e,U09918,12,2020-04-23
26b0515c-34e9-4472-bf73-f7210ec8f53b,U20227,14,2020-01-03
cb645581-725a-473c-b3dc-76356d78ec1b,U63286,8,2020-03-25
0545f272-8662-4ac3-be1f-573658e754f5,U23185,3,2020-04-30
1334486c-5d88-43c7-9f48-9a2237439aad,U43255,15,2020-04-28
ca6714aa-cbd9-48da-b7a1-c405beaac317,U18994,6,2020-03-23
75293836-5703-4d02-afae-c8a230121423,U60902,10,2020-05-01
077173bd-2f90-4111-95ac-b3f16ee84d44,U14468,11,2020-02-21
48762b4d-1a73-4311-8e8e-755ca74877b1,U18527,15,2020-05-17
f5594cf9-503d-4f38-85e1-6e30f14a1ed6,U16014,11,2020-04-21
f23dff7c-ac59-4370-9127-502a18aa3b09,U55264,12,2020-06-28
2124a3e5-fd54-46e9-b34f-91d96e27eb83,U65187,10,2020-05-08
c47cfdbc-0408-4dbd-8f45-87fef7b0d76c,U51237,4,2020-05-11
aee6f858-383d-460a-8dfc-4736daa5a003,U40697,7,2020-03-14
aa0b4676-bc0a-47f5-a868-25b57c8c6189,U35605,12,2020-03-19
731c5684-5a4d-4971-8383-59559b36e661,U33291,10,2020-04-17
5c7a0a76-7b09-4225-a9ea-332f273090aa,U25186,10,2020-02-15
3e41839e-3190-4e8d-8f5c-1c9b040e82b6,U32702,8,2020-01-26
d165ac5b-3959-4b3d-97b8-b0e9a735bfe3,U06120,5,2020-04-10
7353e34c-5680-48be-a4e2-c9d1cea4d1a7,U18756,4,2020-05-13
62bdbf04-58fc-4477-9b61-2fba3f3340e8,U43387,7,2020-01-15
0f42119d-9ade-4730-9904-4fbdd2844f8c,U30216,12,2020-05-31
eae55fff-77db-4f0a-8829-bdd0b237afd8,U29028,6,2020-02-15
300d5501-e26d-4780-bd26-4b99cd0b5ab6,U00914,12,2020-01-02
26513ec4-92d3-4547-ba27-cb0a0e9b28d6,U58885,15,2020-02-09
1ce159d0-e4dd-4a74-b11d-9f27464d1c4a,U15301,11,2020-03-10
76078623-fdd4-41bd-a33a-77a2cb0567b1,U35501,12,2020-06-23
0365d43c-0494-4955-bb7f-4474530c5414,U61020,11,2020-04-07
ca0e361a-8ad7-4fe8-93f0-52135aec5f3a,U45821,3,2020-03-11
77674eb0-48ce-475c-b4b6-9dfefae1bf91,U09006,8,2020-01-02
83acf27c-d2eb-4305-b867-8400b4522561,U51384,5,2020-04-22
fc50185e-937c-4c6f-a5da-7780e382f052,U39239,11,2020-05-15
26d559f2-b49e-44ce-b0e9-17949266206c,U00851,9,2020-06-02
fdfaa456-a38f-45d5-afd9-4c12186e20d6,U02848,7,2020-01-29
efbe72ff-0263-4302-930f-345504191a49,U64560,4,2020-04-09
c39054cc-2cde-47fd-b5e7-44e00d5cd6ff,U17873,11,2020-01-14
103fe85e-e5c8-4dd2-8037-689873d28760,U44940,8,2020-05-10
3f6a326e-64a2-42a0-83e2-bcc0e1e5e353,U16831,12,2020-03-27
8db606aa-2146-405a-a23e-4d9cdf6b4205,U53044,9,2020-01-30
f489283d-53fb-40dd-9f2f-e760aa2060a3,U21354,4,2020-06-28
38704a6c-7525-4f40-b477-a40a51f6ab0f,U39506,3,2020-05-15
d8a378a1-2f17-43aa-85d8-cae20658b4e8,U06204,3,2020-01-24
fe40da6e-f940-4f82-af4c-0a43f0b204c5,U60100,15,2020-02-07
a6efce4b-fd73-4a3c-a1a9-72def3f96bf4,U62920,11,2020-04-29
461456a6-bf95-49c9-a7b9-e35c75496350,U07553,3,2020-01-24
002ed327-c1a9-4f48-b92a-8cbc5d8ace29,U21988,10,2020-01-09
d296ffaf-8539-48d5-99b9-1855facc101d,U12116,3,2020-06-27
f57791a3-2a95-4f47-84c0-327e563612bd,U11440,15,2020-05-26
f2e6ba3c-6334-4869-abb4-eeef76f4a6da,U51275,11,2020-01-17
173c60f5-1670-4b76-8568-1b7558a37ac8,U44305,9,2020-06-12
48476300-3044-4169-ad70-2c7a40767fa1,U01192,4,2020-04-04
f64436a5-0873-4186-a6fe-968479fe72ef,U26418,8,2020-01-17
5877b630-b6ad-4290-aed6-31f816f8606b,U02674,12,2020-05-18
530b7c78-4b1c-4e08-bafd-381305b3dfea,U57291,13,2020-04-11
f4b2df39-1d4a-43a0-9cda-139da470270b,U42453,14,2020-04-29
7cef41a5-8d43-4a47-8ec5-036e5b2ac754,U62480,12,2020-05-13
fb538fac-1031-46cc-99d3-ab529adca7d8,U17516,3,2020-03-07
9ba93588-ce70-4084-8c08-d184cb698dcf,U14930,10,2020-01-10
319974b9-beb9-44b9-83b4-1bd7926c5063,U02335,5,2020-05-07
c0579055-aac5-4409-83a7-0ddb8d19731a,U50648,10,2020-03-25
06a365a0-8b1a-41e9-8d3f-b88147fa002e,U07712,11,2020-02-01
2e5e1363-320a-4c4c-9f88-4dc52f0e46b7,U51825,12,2020-01-14
93a95ff9-7d7a-469f-a6ce-eff4414abfb2,U28052,6,2020-03-30
516d8c08-4333-4fab-be76-f0806d8f07bd,U60450,9,2020-05-14
20dd22ad-75f2-4cff-ba5b-784f52f2fef5,U07127,9,2020-06-09
2527511a-2b52-4423-b3c2-9c3500ddf09d,U48280,5,2020-04-12
68da40c9-e141-448b-a231-c800892e0d12,U13476,7,2020-02-14
a14d8e00-948f-4f69-8df5-490e2fb361b4,U24171,4,2020-04-10
73a08116-1e02-48ff-853d-bad756041721,U63360,15,2020-06-09
6ba2f361-1ead-48f0-8500-ca3e399dae4e,U38998,14,2020-05-05
f6f38280-d6c8-44bb-9452-06c01d705ad4,U09015,13,2020-01-08
ffae0313-5629-4391-b6a1-c3ea94087043,U43491,8,2020-05-25
847e8cbd-39b0-4167-be2b-6b0d448ce6d1,U04779,6,2020-06-14
18f4e850-daee-4bd3-aef7-49c34b17ca76,U22851,5,2020-01-18
75aac009-2238-4291-81ee-3413685fcec9,U19334,8,2020-01-24
feb21361-d6cb-48ec-bdac-6e5093d9827f,U09298,10,2020-06-20
